Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
04_Kontingenztabelle_Verweis_Lösung.xlsx;80668;Lennart;Dröge;4;"13.04.2026 10:00";04_Kontingenztabelle_Verweis_Lösung.xlsx
05_Solver_Regression_I_Angabe.xlsx;156840;Lennart;Dröge;3;"13.04.2026 10:00";05_Solver_Regression_I_Angabe.xlsx
Lösung_Übungsblatt_4.pdf;33286;Lennart;Dröge;5;"13.04.2026 10:00";Lösung_Übungsblatt_4.pdf
Übung_5.pdf;31180;Lennart;Dröge;4;"13.04.2026 10:00";Übung_5.pdf
